commune_id,name,name_fr,name_nl,name_osm
anderlecht,Allée Clara Clairbert,Allée Clara Clairbert,Clara Clairbertdreef,Allée Clara Clairbert - Clara Clairbertdreef
anderlecht,Allée de la Paix,Allée de la Paix,Vredeweg,Allée de la Paix - Vredeweg
anderlecht,Allée de la Recherche,Allée de la Recherche,Researchdreef,Allée de la Recherche - Researchdreef
anderlecht,Allée de la Villa Romaine,Allée de la Villa Romaine,Romeinse-Villadreef,Allée de la Villa Romaine - Romeinse-Villadreef
anderlecht,Allée des Coquelicots,Allée des Coquelicots,Klaprozendreef,Allée des Coquelicots - Klaprozendreef
anderlecht,Allée des Glycines,Allée des Glycines,Blauweregendreef,Allée des Glycines - Blauweregendreef
anderlecht,Allée des Iris,Allée des Iris,Irisdreef,Allée des Iris - Irisdreef
anderlecht,Allée des Jacinthes,Allée des Jacinthes,Hyacintendreef,Allée des Jacinthes - Hyacintendreef
anderlecht,Allée des Novateurs,Allée des Novateurs,Vernieuwersdreef,Allée des Novateurs - Vernieuwersdreef
anderlecht,Allée des Orpins,Allée des Orpins,Vetkruidweg,Allée des Orpins - Vetkruidweg
anderlecht,Allée des Perce-neige,Allée des Perce-neige,Sneeuwklokjesdreef,Allée des Perce-neige - Sneeuwklokjesdreef
anderlecht,Allée des Pervenches,Allée des Pervenches,Maagdenpalmdreef,Allée des Pervenches - Maagdenpalmdreef
anderlecht,Allée du Hérisson,Allée du Hérisson,Egeldreef,Allée du Hérisson - Egeldreef
anderlecht,Allée Hof ter Vleest,Allée Hof ter Vleest,Hof ter Vleestdreef,Allée Hof ter Vleest - Hof ter Vleestdreef
anderlecht,Alleé Lucette Decroly,Alleé Lucette Decroly,Lucette Decrolyweg,Alleé Lucette Decroly - Lucette Decrolyweg
anderlecht,Allée Paul Ooghe,Allée Paul Ooghe,Paul Ooghedreef,Allée Paul Ooghe - Paul Ooghedreef
anderlecht,Avenue Albert De Coster,Avenue Albert De Coster,Albert De Costerlaan,Avenue Albert De Coster - Albert De Costerlaan
anderlecht,Avenue Auber,Avenue Auber,Auberlaan,Avenue Auber - Auberlaan
anderlecht,Avenue Auguste Bourgeois,Avenue Auguste Bourgeois,Auguste Bourgeoislaan,Avenue Auguste Bourgeois - Auguste Bourgeoislaan
anderlecht,Avenue Camille Vaneukem,Avenue Camille Vaneukem,Camille Vaneukemlaan,Avenue Camille Vaneukem - Camille Vaneukemlaan
anderlecht,Avenue Capitaine Fossoul,Avenue Capitaine Fossoul,Kapitein Fossoullaan,Avenue Capitaine Fossoul - Kapitein Fossoullaan
anderlecht,Avenue Chanoine Roose,Avenue Chanoine Roose,Kanunnik Rooselaan,Avenue Chanoine Roose - Kanunnik Rooselaan
anderlecht,Avenue Charles De Tollenaere,Avenue Charles De Tollenaere,Charles De Tollenaerelaan,Avenue Charles De Tollenaere - Charles De Tollenaerelaan
anderlecht,Avenue Charles Plisnier,Avenue Charles Plisnier,Charles Plisnierlaan,Avenue Charles Plisnier - Charles Plisnierlaan
anderlecht,Avenue Claeterbosch,Avenue Claeterbosch,Klaterboslaan,Avenue Claeterbosch - Klaterboslaan
anderlecht,Avenue Clemenceau,Avenue Clemenceau,Clemenceaulaan,Avenue Clemenceau - Clemenceaulaan
anderlecht,Avenue Commandant Vander Meeren,Avenue Commandant Vander Meeren,Commandant Vander Meerenlaan,Avenue Commandant Vander Meeren - Commandant Vander Meerenlaan
anderlecht,Avenue d'Itterbeek,Avenue d'Itterbeek,Itterbeekse Laan,Avenue d'Itterbeek - Itterbeekse Laan
anderlecht,Avenue d'Itterbeek - Itterbeekse Laan / Itterbeeksebaan,,,Avenue d'Itterbeek - Itterbeekse Laan / Itterbeeksebaan
anderlecht,Avenue de l'Éternité,Avenue de l'Éternité,Eeuwigheidslaan,Avenue de l'Éternité - Eeuwigheidslaan
anderlecht,Avenue de la Brasserie,Avenue de la Brasserie,Brouwerijlaan,Avenue de la Brasserie - Brouwerijlaan
anderlecht,Avenue de la Fécondité,Avenue de la Fécondité,Vruchtbaarheidslaan,Avenue de la Fécondité - Vruchtbaarheidslaan
anderlecht,Avenue de la Libre Académie,Avenue de la Libre Académie,Vrije-Academielaan,Avenue de la Libre Académie - Vrije-Academielaan
anderlecht,Avenue de la Persévérance,Avenue de la Persévérance,Volhardingslaan,Avenue de la Persévérance - Volhardingslaan
anderlecht,Avenue de la Poésie,Avenue de la Poésie,Dichtkunstlaan,Avenue de la Poésie - Dichtkunstlaan
anderlecht,Avenue de la Salubrité,Avenue de la Salubrité,Heilzaamheidslaan,Avenue de la Salubrité - Heilzaamheidslaan
anderlecht,Avenue de la Société Nationale,Avenue de la Société Nationale,Nationale Maatschappijlaan,Avenue de la Société Nationale - Nationale Maatschappijlaan
anderlecht,Avenue de Saïo,Avenue de Saïo,Saïolaan,Avenue de Saïo - Saïolaan
anderlecht,Avenue de Scheut,Avenue de Scheut,Scheutlaan,Avenue de Scheut - Scheutlaan
anderlecht,Avenue des Cardamines,Avenue des Cardamines,Veldkerslaan,Avenue des Cardamines - Veldkerslaan
anderlecht,Avenue des Chanterelles,Avenue des Chanterelles,Hanenkammenlaan,Avenue des Chanterelles - Hanenkammenlaan
anderlecht,Avenue des Crocus,Avenue des Crocus,Krokussenlaan,Avenue des Crocus - Krokussenlaan
anderlecht,Avenue des Dauphinelles,Avenue des Dauphinelles,Ridderspoorlaan,Avenue des Dauphinelles - Ridderspoorlaan
anderlecht,Avenue des Droits de l'Homme,Avenue des Droits de l'Homme,Mensenrechtenlaan,Avenue des Droits de l'Homme - Mensenrechtenlaan
anderlecht,Avenue des Edelweiss,Avenue des Edelweiss,Edelweisslaan,Avenue des Edelweiss - Edelweisslaan
anderlecht,Avenue des Hortensias,Avenue des Hortensias,Hortensiaslaan,Avenue des Hortensias - Hortensiaslaan
anderlecht,Avenue des Immortelles,Avenue des Immortelles,Strobloemenlaan,Avenue des Immortelles - Strobloemenlaan
anderlecht,Avenue des Jonquilles,Avenue des Jonquilles,Narcissenlaan,Avenue des Jonquilles - Narcissenlaan
anderlecht,Avenue des Lilas,Avenue des Lilas,Seringenlaan,Avenue des Lilas - Seringenlaan
anderlecht,Avenue des Ménestrels,Avenue des Ménestrels,Minnezangerslaan,Avenue des Ménestrels - Minnezangerslaan
anderlecht,Avenue des Millepertuis,Avenue des Millepertuis,Sint-Janskruidlaan,Avenue des Millepertuis - Sint-Janskruidlaan
anderlecht,Avenue des Missionnaires,Avenue des Missionnaires,Missionarissenlaan,Avenue des Missionnaires - Missionarissenlaan
anderlecht,Avenue des Pimprenelles,Avenue des Pimprenelles,Pimpernellaan,Avenue des Pimprenelles - Pimpernellaan
anderlecht,Avenue des Stellaires,Avenue des Stellaires,Sterremuurlaan,Avenue des Stellaires - Sterremuurlaan
anderlecht,Avenue Docteur Lemoine,Avenue Docteur Lemoine,Dokter Lemoinelaan,Avenue Docteur Lemoine - Dokter Lemoinelaan
anderlecht,Avenue Docteur Zamenhof,Avenue Docteur Zamenhof,Dokter Zamenhoflaan,Avenue Docteur Zamenhof - Dokter Zamenhoflaan
anderlecht,Avenue du Luizenmolen,Avenue du Luizenmolen,Luizenmolenlaan,Avenue du Luizenmolen - Luizenmolenlaan
anderlecht,Avenue du Roi-Soldat,Avenue du Roi-Soldat,Koning-Soldaatlaan,Avenue du Roi-Soldat - Koning-Soldaatlaan
anderlecht,Avenue du Soldat Britannique,Avenue du Soldat Britannique,Britse-Soldaatlaan,Avenue du Soldat Britannique - Britse-Soldaatlaan
anderlecht,Avenue Émile Gryson,Avenue Émile Gryson,Emile Grysonlaan,Avenue Émile Gryson - Emile Grysonlaan
anderlecht,Avenue Eugène Baie,Avenue Eugène Baie,Eugène Baielaan,Avenue Eugène Baie - Eugène Baielaan
anderlecht,Avenue Eugène Ysaye,Avenue Eugène Ysaye,Eugène Ysayelaan,Avenue Eugène Ysaye - Eugène Ysayelaan
anderlecht,Avenue François Malherbe,Avenue François Malherbe,François Malherbelaan,Avenue François Malherbe - François Malherbelaan
anderlecht,Avenue Frans van Kalken,Avenue Frans van Kalken,Frans van Kalkenlaan,Avenue Frans van Kalken - Frans van Kalkenlaan
anderlecht,Avenue Gounod,Avenue Gounod,Gounodlaan,Avenue Gounod - Gounodlaan
anderlecht,Avenue Guillaume Melckmans,Avenue Guillaume Melckmans,Guillaume Melckmanslaan,Avenue Guillaume Melckmans - Guillaume Melckmanslaan
anderlecht,Avenue Guillaume Stassart,Avenue Guillaume Stassart,Guillaume Stassartlaan,Avenue Guillaume Stassart - Guillaume Stassartlaan
anderlecht,Avenue Jean Josée,Avenue Jean Josée,Jean Joséelaan,Avenue Jean Josée - Jean Joséelaan
anderlecht,Avenue Jean Sibélius,Avenue Jean Sibélius,Jean Sibéliuslaan,Avenue Jean Sibélius - Jean Sibéliuslaan
anderlecht,Avenue Joseph Vanhellemont,Avenue Joseph Vanhellemont,Joseph Vanhellemontlaan,Avenue Joseph Vanhellemont - Joseph Vanhellemontlaan
anderlecht,Avenue Joseph Wybran,Avenue Joseph Wybran,Joseph Wybranlaan,Avenue Joseph Wybran - Joseph Wybranlaan
anderlecht,Avenue Léon Debatty,Avenue Léon Debatty,Léon Debattylaan,Avenue Léon Debatty - Léon Debattylaan
anderlecht,Avenue Limbourg,Avenue Limbourg,Limbourglaan,Avenue Limbourg - Limbourglaan
anderlecht,Avenue Marc Henri Van Laer,Avenue Marc Henri Van Laer,Marc Henri Van Laerlaan,Avenue Marc Henri Van Laer - Marc Henri Van Laerlaan
anderlecht,Avenue Marius Renard,Avenue Marius Renard,Marius Renardlaan,Avenue Marius Renard - Marius Renardlaan
